Ad ID,Category,Price,Currency,Price per m2,Floor Number,Room Count,Area,Location,Excerpt,Last Updated,State of Repair,Link
5222543,Köhnə tikili,175 000,AZN,2 330 AZN/m²,6 / 9,3,75 m²,Bakıxanov q.,var,"13.06.2025, 14:12",var,https://bina.az/items/5222543
5243718,Köhnə tikili,145 000,AZN,2 420 AZN/m²,2 / 9,2,60 m²,Xətai r.,var,"13.06.2025, 14:12",var,https://bina.az/items/5243718
5097931,Yeni tikili,147 000,AZN,1 840 AZN/m²,3 / 16,3,80 m²,Yeni Günəşli q.,var,"13.06.2025, 14:12",var,https://bina.az/items/5097931
5213394,Yeni tikili,129 000,AZN,2 350 AZN/m²,18 / 20,2,55 m²,Əhmədli m.,var,"13.06.2025, 14:12",var,https://bina.az/items/5213394
5276774,Köhnə tikili,148 000,AZN,2 470 AZN/m²,9 / 10,2,60 m²,Əhmədli m.,var,"13.06.2025, 14:12",var,https://bina.az/items/5276774
5190599,Köhnə tikili,169 900,AZN,2 120 AZN/m²,6 / 9,3,80 m²,Həzi Aslanov m.,var,"13.06.2025, 14:12",var,https://bina.az/items/5190599
5276773,Yeni tikili,209 000,AZN,4 350 AZN/m²,4 / 15,2,48 m²,28 May m.,var,"13.06.2025, 14:12",var,https://bina.az/items/5276773
5272901,Yeni tikili,530 000,AZN,2 450 AZN/m²,6 / 15,4,216 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:11",var,https://bina.az/items/5272901
4113285,Yeni tikili,159 000,AZN,2 040 AZN/m²,3 / 16,3,78 m²,Əhmədli q.,var,"13.06.2025, 14:11",var,https://bina.az/items/4113285
5276772,Yeni tikili,265 000,AZN,3 120 AZN/m²,6 / 18,2,85 m²,Nərimanov r.,var,"13.06.2025, 14:11",var,https://bina.az/items/5276772
5211766,Yeni tikili,300 000,AZN,2 530 AZN/m²,5 / 15,3,118.6 m²,Nərimanov r.,yoxdur,"13.06.2025, 14:11",var,https://bina.az/items/5211766
4480117,Yeni tikili,333 506,AZN,5 780 AZN/m²,2 / 4,1,57.7 m²,Nardaran q.,yoxdur,"13.06.2025, 12:30",var,https://bina.az/items/4480117
5276770,Köhnə tikili,130 000,AZN,2 320 AZN/m²,3 / 5,2,56 m²,Qara Qarayev m.,var,"13.06.2025, 14:11",var,https://bina.az/items/5276770
5276765,Yeni tikili,320 000,AZN,2 290 AZN/m²,5 / 14,3,140 m²,8 Noyabr m.,var,"13.06.2025, 14:11",var,https://bina.az/items/5276765
5201221,Yeni tikili,158 000,AZN,2 430 AZN/m²,14 / 17,2,65 m²,İnşaatçılar m.,var,"13.06.2025, 19:36",var,https://bina.az/items/5201221
5122226,Yeni tikili,61 500,AZN,1 140 AZN/m²,6 / 6,2,54 m²,Masazır q.,var,"13.06.2025, 14:10",var,https://bina.az/items/5122226
